date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,lppl_vote,positive_lppl_vote,negative_lppl_vote,trend_buy_vote,trend_sell_vote,vol_buy_vote,vol_sell_vote,drawdown_buy_vote,drawdown_sell_vote,buy_votes,sell_votes,buy_streak,sell_streak,cooldown_remaining,buy_reentry_block_remaining,holding_bars,positive_regime_id,negative_regime_id,atr_ratio,price_drawdown,recent_drawdown_min,vol_position_cap,positive_days_left,negative_days_left,positive_consensus,negative_consensus
2020-03-04,000016.SH,2921.07,2949.57,2919.37,2947.57,42569549.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0833374241924847,-0.04635000954436175,-0.08728723352626966,1.0,,,0.0,0.6596525293188099
2020-03-05,000016.SH,2966.69,3023.12,2956.65,3018.07,60497966.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.142625882643151,-0.02354060236247213,-0.08728723352626966,1.0,,,0.0,0.6596525293188099
2020-03-06,000016.SH,2989.77,2999.49,2962.4,2964.83,41855288.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1322190741157074,-0.04054845589020528,-0.08728723352626966,1.0,,,0.0,0.6596525293188099
2020-03-09,000016.SH,2908.63,2908.63,2864.49,2868.83,58864747.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.214995704347683,-0.07161511004391408,-0.08728723352626966,1.0,,,0.0,0.0
2020-03-10,000016.SH,2859.87,2935.09,2852.93,2924.22,48050530.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.2781778014914391,-0.05369029781918566,-0.08728723352626966,1.0,,,0.0,0.0
2020-03-11,000016.SH,2927.83,2927.83,2888.36,2888.36,36442062.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.228424785463181,-0.0652949875895189,-0.08728723352626966,1.0,,,0.0,0.0
2020-03-12,000016.SH,2858.51,2866.14,2828.29,2841.98,37023632.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.2512233465287947,-0.0803040648775295,-0.08728723352626966,1.0,,,0.0,0.0
2020-03-13,000016.SH,2720.61,2826.72,2715.14,2798.77,49061355.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.344437042915264,-0.09428729535650604,-0.09428729535650604,1.0,,,0.0,0.0
2020-03-16,000016.SH,2800.0,2800.18,2689.9,2694.02,46971206.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.3889899325746213,-0.12818554559193307,-0.12818554559193307,1.0,,,0.0,0.6128250786097859
2020-03-17,000016.SH,2696.7,2734.8,2629.18,2685.59,41532694.0,none,0.0,MA20/MA60 未触发,hold,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.4270306633675116,-0.12822502109978573,-0.12822502109978573,1.0,,,0.0,0.6128250786097859
