date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,param_source,executed_position,cash,units,holdings_value,portfolio_value,strategy_nav,benchmark_nav,daily_return,benchmark_return,excess_return,trade_flag,running_max,drawdown
2024-07-19,000001.SH,2963.51,2986.24,2955.12,2982.31,280932413.0,none,0.0,无信号,hold,1.0,default_cli,1.0000000000000002,-5.820766091346741e-11,327.50203222620394,976712.5857285302,976712.5857285301,0.97671258572853,0.9569390119075504,0.001739930738664297,0.001739930738664297,0.0,False,1.098712445506913,-0.11103893496181882
2024-07-22,000001.SH,2978.19,2978.6,2946.56,2964.22,278749559.0,none,0.0,无信号,hold,1.0,default_cli,1.0000000000000002,-5.820766091346741e-11,327.50203222620394,970788.0739655582,970788.0739655581,0.9707880739655581,0.9511344420521672,-0.0060657678108579915,-0.006065767810858103,1.1102230246251565e-16,False,1.098712445506913,-0.11643116637523343
2024-07-23,000001.SH,2960.5,2960.5,2915.37,2915.37,296295994.0,none,0.0,无信号,hold,1.0,default_cli,1.0,-5.820766091346741e-11,327.50203222620394,954789.5996913081,954789.5996913081,0.954789599691308,0.9354598573404224,-0.01647988340946349,-0.01647988340946349,0.0,False,1.098712445506913,-0.13099227773760524
2024-07-24,000001.SH,2909.15,2922.03,2894.29,2901.95,306118853.0,none,0.0,无信号,hold,1.0,default_cli,1.0,-5.820766091346741e-11,327.50203222620394,950394.5224188324,950394.5224188324,0.9503945224188324,0.9311537585311774,-0.004603189303587607,-0.004603189303587607,0.0,False,1.098712445506913,-0.13499248478945847
2024-07-25,000001.SH,2891.89,2897.77,2872.85,2886.74,274639500.0,none,0.0,无信号,hold,1.0,default_cli,1.0,-5.820766091346741e-11,327.50203222620394,945413.2165086719,945413.2165086719,0.9454132165086718,0.9262732992995368,-0.005241303261599883,-0.005241303261599994,1.1102230246251565e-16,False,1.098712445506913,-0.1395262515002399
2024-07-26,000001.SH,2886.0,2899.12,2875.4,2890.9,278387536.0,none,0.0,无信号,hold,1.0,default_cli,1.0000000000000002,-5.820766091346741e-11,327.50203222620394,946775.624962733,946775.6249627329,0.9467756249627329,0.927608125756054,0.0014410719358168844,0.0014410719358168844,0.0,False,1.098712445506913,-0.13828624692976965
2024-07-29,000001.SH,2889.47,2898.95,2878.58,2891.85,256899727.0,none,0.0,无信号,hold,1.0,default_cli,1.0,-5.820766091346741e-11,327.50203222620394,947086.7518933478,947086.7518933478,0.9470867518933478,0.9279129539131913,0.0003286173855892027,0.0003286173855892027,0.0,False,1.098712445506913,-0.1380030728091095
2024-07-30,000001.SH,2885.22,2885.22,2865.15,2879.3,262478837.0,negative_bubble,0.6031512191416283,强抄底信号 (Strong Buy),hold,1.0,default_cli,1.0000000000000002,-5.820766091346741e-11,327.50203222620394,942976.601388909,942976.6013889089,0.9429766013889089,0.9238860135215353,-0.0043397824921763695,-0.004339782492176147,-2.220446049250313e-16,False,1.098712445506913,-0.14174395198204226
2024-07-31,000001.SH,2877.54,2940.59,2876.3,2938.75,412723417.0,none,0.0,无信号,hold,1.0,default_cli,1.0000000000000002,-5.820766091346741e-11,327.50203222620394,962446.5972047568,962446.5972047567,0.9624465972047567,0.9429618387234437,0.020647379571423485,0.020647379571423485,0.0,False,1.098712445506913,-0.12402321358914559
2024-08-01,000001.SH,2940.12,2947.88,2928.83,2932.39,346621137.0,none,0.0,无信号,hold,1.0,default_cli,1.0,-5.820766091346741e-11,327.50203222620394,960363.6842797981,960363.6842797981,0.960363684279798,0.9409210944293456,-0.0021641854529986793,-0.0021641854529987903,1.1102230246251565e-16,False,1.098712445506913,-0.12591898980746052
2024-08-02,000001.SH,2913.02,2931.26,2902.72,2905.34,312205039.0,none,0.0,无信号,hold,1.0,default_cli,1.0,-5.820766091346741e-11,327.50203222620394,951504.7543080794,951504.7543080794,0.9515047543080793,0.9322415137445411,-0.009224557442904846,-0.009224557442904846,0.0,False,1.098712445506913,-0.13398200029573382
2024-08-05,000001.SH,2889.36,2919.03,2860.7,2860.7,355540572.0,none,0.0,无信号,hold,1.0,default_cli,1.0000000000000002,-5.820766091346741e-11,327.50203222620394,936885.0635895015,936885.0635895014,0.9368850635895014,0.917917799076531,-0.015364811003187429,-0.015364811003187318,-1.1102230246251565e-16,False,1.098712445506913,-0.14728820318654834
2024-08-06,000001.SH,2878.65,2888.2,2845.34,2867.28,297300803.0,none,0.0,无信号,hold,1.0,default_cli,1.0,-5.820766091346741e-11,327.50203222620394,939040.0269615501,939040.0269615501,0.9390400269615501,0.9200291351543874,0.0023001363302690425,0.0023001363302690425,0.0,False,1.098712445506913,-0.14532684980344868
2024-08-07,000001.SH,2864.01,2886.94,2857.72,2869.83,263097150.0,none,0.0,无信号,hold,1.0,default_cli,1.0000000000000002,-5.820766091346741e-11,327.50203222620394,939875.1571437268,939875.1571437267,0.9398751571437267,0.9208473581024927,0.000889344605339959,0.000889344605340181,-2.220446049250313e-16,False,1.098712445506913,-0.14456675084799242
2024-08-08,000001.SH,2864.76,2886.4,2850.87,2869.9,289128632.0,none,0.0,无信号,hold,1.0,default_cli,1.0000000000000002,-5.820766091346741e-11,327.50203222620394,939898.0822859827,939898.0822859826,0.9398980822859826,0.9208698191245976,2.4391688706382197e-05,2.4391688706382197e-05,0.0,False,1.098712445506913,-0.14454588538647006
2024-08-09,000001.SH,2879.87,2887.85,2862.19,2862.19,284253916.0,none,0.0,无信号,hold,1.0,default_cli,1.0000000000000002,-5.820766091346741e-11,327.50203222620394,937373.0416175186,937373.0416175185,0.9373730416175186,0.9183958979756202,-0.002686504756263308,-0.002686504756263308,0.0,False,1.098712445506913,-0.1468440669341443
2024-08-12,000001.SH,2858.89,2869.27,2851.3,2858.2,244241371.0,none,0.0,无信号,hold,1.0,default_cli,1.0,-5.820766091346741e-11,327.50203222620394,936066.3085089361,936066.3085089361,0.9360663085089361,0.9171156197156434,-0.0013940374328746952,-0.0013940374328749172,2.220446049250313e-16,False,1.098712445506913,-0.1480333982409172
2024-08-13,000001.SH,2860.41,2867.95,2845.31,2867.95,231674601.0,negative_bubble,0.6027281478634078,强抄底信号 (Strong Buy),hold,1.0,default_cli,1.0000000000000002,-5.820766091346741e-11,327.50203222620394,939259.4533231416,939259.4533231414,0.9392594533231414,0.9202441192231052,0.0034112378419983713,0.0034112378419983713,0.0,False,1.098712445506913,-0.14512713752887796
