symbol,symbol_name,fast_ma,slow_ma,atr_config,total_return,benchmark_return,annualized_return,annualized_benchmark,annualized_excess_return,max_drawdown,trade_count,holding_ratio,eligible
000300.SH,沪深300,5,250,严格ATR,-0.007030194468799378,-0.19279415271147038,-0.001411128698464048,-0.041963437694419015,0.040552308995954967,-0.0710257336405723,4,0.19062748212867356,True
000905.SH,中证500,5,250,严格ATR,0.0,0.1909677061864794,0.0,0.03560002985418098,-0.03560002985418098,0.0,0,0.05559968228752978,False
000852.SH,中证1000,5,250,严格ATR,-0.010406336601146982,0.18924441633249622,-0.0020916434554991703,0.035299922477924905,-0.037391565933424076,-0.24585019320592705,2,0.4185861795075457,False
932000.SH,中证2000,5,250,严格ATR,0.37862818322719627,0.6812540622425114,0.06637899641657485,0.10958994513949638,-0.04321094872292153,-0.3612237463366881,6,0.8276409849086577,False
000001.SH,上证综指,5,250,宽松ATR,0.20329782089370152,0.08755227654815001,0.03773722043252814,0.016941144159684285,0.020796076272843855,-0.173788562575506,2,0.6108022239872914,False
399001.SZ,深证成指,5,250,宽松ATR,0.0,-0.1044591658027142,0.0,-0.02184097316835798,0.02184097316835798,0.0,0,0.8554408260524226,False
399006.SZ,创业板指,5,250,宽松ATR,0.18364370717174783,0.05289588857298022,0.034322162192865324,0.010370463904571636,0.023951698288293688,-0.10854715040834995,3,0.5957108816521048,True
000016.SH,上证50,5,250,宽松ATR,0.03169870788904827,-0.26745636071186063,0.006265841082720325,-0.060395196577113786,0.06666103765983411,-0.09701960962913969,5,0.43208895949166004,True
000300.SH,沪深300,5,250,宽松ATR,0.03105425175565224,-0.19279415271147038,0.006139995917592955,-0.041963437694419015,0.04810343361201197,-0.16696398403405166,5,0.6108022239872914,True
000905.SH,中证500,5,250,宽松ATR,0.0,0.1909677061864794,0.0,0.03560002985418098,-0.03560002985418098,0.0,0,0.05559968228752978,False
000852.SH,中证1000,5,250,宽松ATR,-0.010406336601146982,0.18924441633249622,-0.0020916434554991703,0.035299922477924905,-0.037391565933424076,-0.24585019320592705,2,0.4185861795075457,False
932000.SH,中证2000,5,250,宽松ATR,0.3856666801673989,0.6812540622425114,0.06746650888143058,0.10958994513949638,-0.042123436258065805,-0.35736597406809634,4,0.8617950754567116,False
000001.SH,上证综指,10,20,标准ATR,0.3411354967034461,0.36083951098068123,0.050929572395973066,0.05352689954135159,-0.002597327145378525,-0.2045894485996832,12,0.9785090664875755,False
399001.SZ,深证成指,10,20,标准ATR,0.0,0.2967351612158451,0.0,0.0449585796445664,-0.0449585796445664,0.0,0,0.9704499664204164,False
399006.SZ,创业板指,10,20,标准ATR,0.5266558235038001,0.6350233158051395,0.07422820904597383,0.08676846649072556,-0.012540257444751735,-0.266561451830722,3,0.9704499664204164,False
