symbol,name,window_id,signal_date,market_env,wy_phase,wy_direction,wy_confidence,wy_signal_type,wy_bc,wy_spring,wy_signal,lppl_score,lppl_level,lppl_n_valid,lppl_avg_rmse,lppl_avg_m,fusion_signal,fwd_return,fwd_max_gain,fwd_max_dd,bench_return,excess_return
600491.SH,龙元建设,16,2024-09-13,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,0.003,danger,1,0.049643,0.8932,MD_NO_LPPL,49.59,86.59,2.44,21.64,27.95
600491.SH,龙元建设,17,2025-01-13,structural_low,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,12.65,26.76,1.76,3.48,9.17
600491.SH,龙元建设,18,2025-03-04,bull_start,markup,持有观察,C,markup,True,False,AVOID,0.0,none,0,1.0,0.0,AVOID_LPPL_DANGER,-11.65,9.11,15.44,3.44,-15.09
600491.SH,龙元建设,19,2025-04-07,event_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0,none,0,1.0,0.0,OTHER,-3.41,16.19,5.11,17.08,-20.49
600491.SH,龙元建设,20,2025-04-18,rebound_start,markdown,空仓观望,D,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,-6.82,7.35,11.55,18.32,-25.14
003003.SZ,天元股份,8,2021-07-28,structural_low,markdown,空仓观望,B,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,-8.06,15.39,20.47,6.19,-14.25
003003.SZ,天元股份,9,2021-11-10,rebound_start,markdown,空仓观望,D,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,4.94,21.74,9.7,-11.82,16.76
003003.SZ,天元股份,10,2022-04-27,event_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,19.48,21.95,3.82,4.02,15.46
003003.SZ,天元股份,11,2022-10-31,bear_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0366,danger,1,0.04248,0.1076,OTHER,12.06,35.76,1.66,13.57,-1.51
003003.SZ,天元股份,12,2023-05-25,structural_low,unknown,空仓观望,D,no_signal,False,False,HOLD,0.0,none,0,1.0,0.0,OTHER,3.62,12.62,6.07,-5.02,8.64
003003.SZ,天元股份,13,2023-10-23,bear_bottom,distribution,空仓观望,B,distribution,True,False,HOLD,0.0,none,0,1.0,0.0,OTHER,-16.67,21.35,41.03,2.21,-18.88
003003.SZ,天元股份,14,2024-02-05,crash_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,0.0,none,0,1.0,0.0,MD_NO_LPPL,4.26,25.84,21.83,8.74,-4.48
