date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,param_source
2025-08-22,000001.SH,3772.28,3825.76,3772.28,3825.76,698136277.0,none,0.0,无信号,hold,0.0,default_cli
2025-08-25,000001.SH,3848.16,3883.56,3839.97,3883.56,885474802.0,none,0.0,无信号,hold,0.0,default_cli
2025-08-26,000001.SH,3871.47,3888.6,3859.76,3868.38,734565305.0,negative_bubble,0.7071817862802611,强抄底信号 (Strong Buy),buy,1.0,default_cli
2025-08-27,000001.SH,3869.61,3887.2,3800.35,3800.35,858633499.0,negative_bubble,0.7041471349881191,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-08-28,000001.SH,3796.71,3845.09,3761.42,3843.6,788351947.0,negative_bubble,0.7029370999969321,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-08-29,000001.SH,3842.82,3867.61,3839.21,3857.93,739462366.0,negative_bubble,0.7013190642876748,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-01,000001.SH,3869.75,3879.05,3853.66,3875.53,747709536.0,negative_bubble,0.6999641459633357,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-02,000001.SH,3877.09,3885.31,3828.68,3858.13,762618833.0,negative_bubble,0.699285469373179,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-03,000001.SH,3865.29,3868.39,3794.88,3813.56,645668510.0,negative_bubble,0.698460794526763,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-04,000001.SH,3807.76,3808.4,3732.84,3765.88,710227933.0,negative_bubble,0.6985655676629692,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-05,000001.SH,3761.88,3817.16,3745.31,3812.51,626223380.0,negative_bubble,0.6987505147854471,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-08,000001.SH,3811.67,3833.14,3803.6,3826.84,660066898.0,negative_bubble,0.6988024372910704,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-09,000001.SH,3816.66,3834.67,3791.72,3807.29,600239380.0,negative_bubble,0.6990491220988746,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-10,000001.SH,3806.58,3827.0,3794.06,3812.22,534539825.0,negative_bubble,0.641123870996817,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-11,000001.SH,3806.06,3875.31,3796.43,3875.31,617012930.0,negative_bubble,0.645552647126357,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-12,000001.SH,3875.51,3892.74,3866.54,3870.6,700641784.0,negative_bubble,0.6487145326861619,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-15,000001.SH,3876.1,3879.74,3855.97,3860.5,644793944.0,negative_bubble,0.6512488508049359,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-16,000001.SH,3865.98,3876.69,3838.65,3861.87,673439723.0,negative_bubble,0.6517721925505915,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-17,000001.SH,3854.07,3882.67,3848.95,3876.34,663434713.0,negative_bubble,0.6511069813647676,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-18,000001.SH,3876.06,3899.96,3801.0,3831.66,876027389.0,negative_bubble,0.6499153381947486,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-19,000001.SH,3830.44,3843.17,3811.9,3820.09,682292613.0,negative_bubble,0.5803504398915272,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-22,000001.SH,3822.01,3831.74,3806.2,3828.58,568325686.0,negative_bubble,0.5842758923232194,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-23,000001.SH,3830.14,3838.61,3774.53,3821.83,701902868.0,negative_bubble,0.5881037936469973,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-24,000001.SH,3804.48,3854.92,3804.33,3853.64,602056670.0,negative_bubble,0.5913125387510653,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-25,000001.SH,3852.43,3866.11,3840.46,3853.3,589950531.0,negative_bubble,0.721779332364169,强抄底信号 (Strong Buy),hold,1.0,default_cli
