date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,atr_ratio,price_drawdown,recent_drawdown_min,param_source
2023-05-18,399001.SZ,11108.33,11144.48,11024.09,11078.28,371723075.0,none,0.0,持有,hold,0.0,0.9502799904366216,-0.07432146754525071,-0.08039111812255284,optimal_yaml
2023-05-19,399001.SZ,11061.75,11145.51,11034.63,11091.36,355407470.0,none,0.0,持有,hold,0.0,0.9297217974814862,-0.07322852936310442,-0.08039111812255284,optimal_yaml
2023-05-22,399001.SZ,11083.38,11159.31,11037.21,11127.04,345667850.0,none,0.0,持有,hold,0.0,0.9291235190956122,-0.07024718117205075,-0.08039111812255284,optimal_yaml
2023-05-23,399001.SZ,11124.26,11137.63,11012.58,11012.58,340074032.0,none,0.0,持有,hold,0.0,0.9341285443894994,-0.07981122584548128,-0.08039111812255284,optimal_yaml
2023-05-24,399001.SZ,10976.73,11028.57,10920.33,10920.33,345570373.0,none,0.0,持有,hold,0.0,0.9451106084871821,-0.08751944811635282,-0.08751944811635282,optimal_yaml
2023-05-25,399001.SZ,10915.12,10954.24,10801.22,10896.58,377513829.0,none,0.0,持有,hold,0.0,0.9511847104436657,-0.08950394978500531,-0.08950394978500531,optimal_yaml
2023-05-26,399001.SZ,10889.27,10926.84,10798.65,10909.65,357576008.0,none,0.0,持有,hold,0.0,0.9816059802051353,-0.08841184718250894,-0.08950394978500531,optimal_yaml
2023-05-29,399001.SZ,10942.67,10961.79,10790.5,10822.09,395539317.0,none,0.0,持有,hold,0.0,0.9984587942607673,-0.09572818259754967,-0.09572818259754967,optimal_yaml
2023-05-30,399001.SZ,10799.4,10869.55,10697.87,10869.55,397341086.0,none,0.0,持有,hold,0.0,1.019648432657672,-0.09176252157884446,-0.09572818259754967,optimal_yaml
2023-05-31,399001.SZ,10849.81,10849.81,10732.42,10793.85,388079766.0,none,0.0,持有,hold,0.0,1.0596256646022646,-0.09808785952903387,-0.09808785952903387,optimal_yaml
2023-06-01,399001.SZ,10758.89,10913.64,10735.51,10835.9,419041309.0,none,0.0,持有,hold,0.0,1.0639157960775014,-0.09457424710095641,-0.09808785952903387,optimal_yaml
2023-06-02,399001.SZ,10875.31,11012.55,10875.31,10998.07,406446845.0,none,0.0,持有,hold,0.0,1.058657246572848,-0.08102365191757177,-0.09808785952903387,optimal_yaml
2023-06-05,399001.SZ,10990.73,10990.73,10903.05,10946.08,375801794.0,none,0.0,持有,hold,0.0,1.0467359477491327,-0.08536783051770847,-0.09808785952903387,optimal_yaml
2023-06-06,399001.SZ,10928.51,10933.61,10752.22,10773.45,414938520.0,none,0.0,持有,hold,0.0,1.102553630418418,-0.09979244201495008,-0.09979244201495008,optimal_yaml
2023-06-07,399001.SZ,10783.31,10799.46,10681.48,10708.82,348520500.0,none,0.0,持有,hold,0.0,1.0956871385293305,-0.09885042382259113,-0.09979244201495008,optimal_yaml
2023-06-08,399001.SZ,10710.91,10775.34,10648.14,10722.87,369611572.0,none,0.0,持有,hold,0.0,1.0994421627797044,-0.09766811320897606,-0.09979244201495008,optimal_yaml
2023-06-09,399001.SZ,10733.52,10793.93,10697.36,10793.93,408492315.0,none,0.0,持有,hold,0.0,1.0794438003099018,-0.09168839846139731,-0.09979244201495008,optimal_yaml
2023-06-12,399001.SZ,10769.02,10914.62,10752.01,10873.74,405335425.0,none,0.0,持有,hold,0.0,1.092966806246461,-0.08318943711847826,-0.09979244201495008,optimal_yaml
2023-06-13,399001.SZ,10855.44,10963.65,10853.57,10955.96,401828791.0,none,0.0,持有,hold,0.0,1.0869658535141258,-0.07625712454891909,-0.09979244201495008,optimal_yaml
2023-06-14,399001.SZ,10976.51,11034.18,10962.45,10984.56,427026223.0,none,0.0,持有,hold,0.0,1.0412633137421452,-0.07384573876091871,-0.09979244201495008,optimal_yaml
2023-06-15,399001.SZ,11011.95,11185.68,11011.85,11182.94,433495536.0,none,0.0,持有,hold,0.0,1.0733078679354777,-0.05711949006778849,-0.09979244201495008,optimal_yaml
