symbol,strategy,action,entry_price,stop_loss,take_profit,confidence,phase,regime,macro_regime,stock_regime,current_price,upside_pct,net_upside_pct,risk_pct,est_cost_pct,name,analysis_date,ma5,ma20
603291.SH,ma_cross,buy,12.59,11.593,14.085,B,golden_cross,,,,12.59,11.88,11.63,7.92,0.25,联合水务,2026-05-13,12.186,11.836
603281.SH,wyckoff,buy,37.4,29.054,37.96,B,markup,bull,bull,bull,37.4,1.5,1.25,22.32,0.25,江瀚新材,2026-05-13,,
603281.SH,ma_cross,buy,37.4,34.001,42.498,B,golden_cross,,,,37.4,13.63,13.38,9.09,0.25,江瀚新材,2026-05-13,36.98,35.664
603286.SH,ma_cross,buy,69.51,62.918,79.398,B,golden_cross,,,,69.51,14.23,13.98,9.48,0.25,日盈电子,2026-05-13,68.42,64.566
603306.SH,ma_cross,buy,108.7,97.715,125.178,B,golden_cross,,,,108.7,15.16,14.91,10.11,0.25,华懋科技,2026-05-13,108.274,103.368
603289.SH,ma_cross,buy,12.04,10.892,13.762,B,golden_cross,,,,12.04,14.3,14.05,9.53,0.25,泰瑞机器,2026-05-13,12.162,11.963
603307.SH,wyckoff,buy,44.38,35.283,46.69,C,markup,range,bull,range,44.38,5.21,4.96,20.5,0.25,扬州金泉,2026-05-13,,
603309.SH,ma_cross,buy,14.5,13.418,16.123,B,golden_cross,,,,14.5,11.19,10.94,7.46,0.25,维力医疗,2026-05-13,14.41,13.896
603322.SH,ma_cross,buy,37.35,33.792,42.687,B,golden_cross,,,,37.35,14.29,14.04,9.53,0.25,超讯通信,2026-05-13,36.406,34.756
603324.SH,wyckoff,buy,26.69,22.497,26.87,C,markup,bull,bull,bull,26.69,0.67,0.42,15.71,0.25,盛剑科技,2026-05-13,,
603324.SH,ma_cross,buy,26.69,25.059,29.137,B,golden_cross,,,,26.69,9.17,8.92,6.11,0.25,盛剑科技,2026-05-13,26.244,26.186
603331.SH,ma_cross,buy,15.91,14.827,17.535,B,golden_cross,,,,15.91,10.21,9.96,6.81,0.25,百达精工,2026-05-13,15.39,14.968
603341.SH,ma_cross,buy,40.14,37.384,44.274,B,golden_cross,,,,40.14,10.3,10.05,6.87,0.25,龙旗科技,2026-05-13,39.352,38.289
603344.SH,ma_cross,buy,28.48,27.037,30.645,B,golden_cross,,,,28.48,7.6,7.35,5.07,0.25,星德胜,2026-05-13,28.72,28.087
603337.SH,ma_cross,buy,40.48,37.303,45.245,B,golden_cross,,,,40.48,11.77,11.52,7.85,0.25,杰克科技,2026-05-13,41.446,39.83
603338.SH,wyckoff,buy,56.06,46.646,57.5,C,markup,range,bull,range,56.06,2.57,2.32,16.79,0.25,浙江鼎力,2026-05-13,,
603358.SH,ma_cross,buy,35.78,32.354,40.919,B,golden_cross,,,,35.78,14.36,14.11,9.58,0.25,华达科技,2026-05-13,34.918,34.429
603366.SH,ma_cross,buy,8.83,8.445,9.407,B,golden_cross,,,,8.83,6.54,6.29,4.36,0.25,日出东方,2026-05-13,8.712,8.624
603373.SH,ma_cross,buy,45.19,42.337,49.469,B,golden_cross,,,,45.19,9.47,9.22,6.31,0.25,安邦护卫,2026-05-13,44.24,40.89
603391.SH,ma_cross,buy,64.76,59.87,72.095,B,golden_cross,,,,64.76,11.33,11.08,7.55,0.25,力聚热能,2026-05-13,65.824,64.982
603387.SH,ma_cross,buy,9.75,9.051,10.799,B,golden_cross,,,,9.75,10.75,10.5,7.17,0.25,基蛋生物,2026-05-13,9.826,9.621
603398.SH,ma_cross,buy,14.99,13.674,16.964,B,golden_cross,,,,14.99,13.17,12.92,8.78,0.25,*ST沐邦,2026-05-13,14.256,12.662
603386.SH,ma_cross,buy,15.82,14.603,17.646,B,golden_cross,,,,15.82,11.54,11.29,7.69,0.25,骏亚科技,2026-05-13,15.194,14.311
