symbol,symbol_name,fast_ma,slow_ma,atr_config,cooldown_days,total_return,benchmark_return,annualized_return,annualized_benchmark,annualized_excess_return,max_drawdown,trade_count,holding_ratio,eligible
000300.SH,沪深300,10,20,低波,250,0.14505500277175076,0.08796885835723467,0.023508330431541324,0.014568516085060601,0.008939814346480723,-0.06297035532176098,2,0.31109598366235536,False
000905.SH,中证500,10,20,低波,250,0.0,0.34243545124274366,0.0,0.051815362855263114,-0.051815362855263114,0.0,0,0.0,False
000852.SH,中证1000,10,20,低波,250,0.0,0.23020960052344552,0.0,0.03618068123075746,-0.03618068123075746,0.0,0,0.0,False
932000.SH,中证2000,10,20,低波,250,0.01982752177870095,0.5888259077982627,0.00337371511128004,0.08266398506961314,-0.0792902699583331,-0.09066901145578066,3,0.2981620149761743,False
000001.SH,上证综指,10,20,高波,30,0.05619726688634996,0.28973705804231975,0.009423355892613783,0.04461427037618493,-0.035190914483571145,-0.24411177340289747,18,0.9040163376446563,False
399001.SZ,深证成指,10,20,高波,30,0.0,0.18799825949121218,0.0,0.029993057153837377,-0.029993057153837377,0.0,0,0.0,False
399006.SZ,创业板指,10,20,高波,30,0.06780532054875277,0.5029503771193011,0.011317870722660217,0.07239311275556881,-0.061075242032908594,-0.16948473593055768,19,0.3444520081688223,False
000016.SH,上证50,10,20,高波,30,0.15335590255505105,-0.043010897758050226,0.024777350832037026,-0.007513324632236529,0.032290675464273555,-0.2288104831505836,19,0.6201497617426821,True
000300.SH,沪深300,10,20,高波,30,0.0811873175973008,0.08796885835723467,0.013480848477096963,0.014568516085060601,-0.0010876676079636383,-0.23785745330067387,10,0.5098706603131382,False
000905.SH,中证500,10,20,高波,30,-0.05073885772579956,0.34243545124274366,-0.008892815280921451,0.051815362855263114,-0.060708178136184565,-0.35362778424546015,5,0.5976855003403676,False
000852.SH,中证1000,10,20,高波,30,-0.050643134609798746,0.23020960052344552,-0.008875671273211094,0.03618068123075746,-0.045056352503968555,-0.3742147777266537,5,0.40571817562968004,False
932000.SH,中证2000,10,20,高波,30,0.07461617204645199,0.5888259077982627,0.01242152041031952,0.08266398506961314,-0.07024246465929362,-0.3328172762309862,24,0.7549353301565691,False
000001.SH,上证综指,10,20,高波,60,0.08671927742214991,0.28973705804231975,0.014368523097888497,0.04461427037618493,-0.03024574727829643,-0.22803412724302274,5,0.9543907420013614,False
399001.SZ,深证成指,10,20,高波,60,0.0,0.18799825949121218,0.0,0.029993057153837377,-0.029993057153837377,0.0,0,0.0,False
399006.SZ,创业板指,10,20,高波,60,0.08456060186739944,0.5029503771193011,0.014022582009919349,0.07239311275556881,-0.05837053074564946,-0.21358110147072507,10,0.2518720217835262,False
000016.SH,上证50,10,20,高波,60,0.07378453343460145,-0.043010897758050226,0.012287070458743221,-0.007513324632236529,0.01980039509097975,-0.22479840048148614,13,0.6501021102791015,True
000300.SH,沪深300,10,20,高波,60,0.014835769149551759,0.08796885835723467,0.0025295059279679677,0.014568516085060601,-0.012039010157092633,-0.28517241086952416,8,0.6017699115044248,False
000905.SH,中证500,10,20,高波,60,0.1348671978425513,0.34243545124274366,0.02194038574034929,0.051815362855263114,-0.029874977114913825,-0.19984155718144525,1,0.5153165418652145,False
000852.SH,中证1000,10,20,高波,60,-0.1120695574283489,0.23020960052344552,-0.020183717142393198,0.03618068123075746,-0.05636439837315066,-0.3411145883820338,5,0.30837304288631723,False
932000.SH,中证2000,10,20,高波,60,0.15292892256325175,0.5888259077982627,0.024712260115247187,0.08266398506961314,-0.05795172495436596,-0.24051201185978466,19,0.7345132743362832,False
000001.SH,上证综指,10,20,高波,120,0.03570208417514986,0.28973705804231975,0.006035871846526986,0.04461427037618493,-0.03857839852965794,-0.2356868188750142,6,0.8155207624234173,False
399001.SZ,深证成指,10,20,高波,120,0.0,0.18799825949121218,0.0,0.029993057153837377,-0.029993057153837377,0.0,0,0.0,False
399006.SZ,创业板指,10,20,高波,120,-0.025875683775498648,0.5029503771193011,-0.004487192928509187,0.07239311275556881,-0.076880305684078,-0.09612864573701674,4,0.16473791695030632,False
000016.SH,上证50,10,20,高波,120,0.06413586058054954,-0.043010897758050226,0.010720841536062675,-0.007513324632236529,0.018234166168299204,-0.09471976570651652,7,0.4833219877467665,True
000300.SH,沪深300,10,20,高波,120,0.09623997465535328,0.08796885835723467,0.015887514632980215,0.014568516085060601,0.0013189985479196142,-0.06459860229388281,2,0.22872702518720217,False
000905.SH,中证500,10,20,高波,120,0.18039559826635143,0.34243545124274366,0.028859307647431276,0.051815362855263114,-0.022956055207831838,-0.10037447479775752,1,0.23076923076923078,False
000852.SH,中证1000,10,20,高波,120,0.0,0.23020960052344552,0.0,0.03618068123075746,-0.03618068123075746,0.0,0,0.0,False
932000.SH,中证2000,10,20,高波,120,-0.13897041547359867,0.5888259077982627,-0.025341088457777383,0.08266398506961314,-0.10800507352739053,-0.21336658838824507,8,0.39891082368958475,False
000001.SH,上证综指,10,20,高波,250,-0.039458286645648766,0.28973705804231975,-0.0068822550083690315,0.04461427037618493,-0.05149652538455396,-0.05860319349930421,2,0.1906058543226685,False
399001.SZ,深证成指,10,20,高波,250,0.0,0.18799825949121218,0.0,0.029993057153837377,-0.029993057153837377,0.0,0,0.0,False
399006.SZ,创业板指,10,20,高波,250,0.4950227397993521,0.5029503771193011,0.07142062796684279,0.07239311275556881,-0.0009724847887260246,-0.19410444745144106,3,0.4846834581347856,False
000016.SH,上证50,10,20,高波,250,0.0580298579206473,-0.043010897758050226,0.009723590460751774,-0.007513324632236529,0.017236915092988303,-0.0952207416672669,3,0.4833219877467665,True
000300.SH,沪深300,10,20,高波,250,0.1420646119235487,0.08796885835723467,0.023049299405891954,0.014568516085060601,0.008480783320831353,-0.06296011831264403,2,0.3117767188563649,False
000905.SH,中证500,10,20,高波,250,0.0,0.34243545124274366,0.0,0.051815362855263114,-0.051815362855263114,0.0,0,0.0,False
000852.SH,中证1000,10,20,高波,250,0.0,0.23020960052344552,0.0,0.03618068123075746,-0.03618068123075746,0.0,0,0.0,False
932000.SH,中证2000,10,20,高波,250,0.01982752177870095,0.5888259077982627,0.00337371511128004,0.08266398506961314,-0.0792902699583331,-0.09066901145578066,3,0.2981620149761743,False
000001.SH,上证综指,10,30,低波,30,0.10779543207920006,0.28973705804231975,0.017716530946705777,0.04461427037618493,-0.02689773942947915,-0.2827554863416716,14,0.9237576582709326,False
399001.SZ,深证成指,10,30,低波,30,0.0,0.18799825949121218,0.0,0.029993057153837377,-0.029993057153837377,0.0,0,0.0,False
399006.SZ,创业板指,10,30,低波,30,0.06074853149019832,0.5029503771193011,0.010168199830433933,0.07239311275556881,-0.06222491292513488,-0.17349312387671312,19,0.3424098025867937,False
000016.SH,上证50,10,30,低波,30,0.040468472002801015,-0.043010897758050226,0.00682859285423576,-0.007513324632236529,0.014341917486472289,-0.22986477589758258,20,0.6548672566371682,True
000300.SH,沪深300,10,30,低波,30,-0.01168901004510281,0.08796885835723467,-0.0020149730838209257,0.014568516085060601,-0.016583489168881527,-0.36950325030398123,7,0.5643294758339006,False
000905.SH,中证500,10,30,低波,30,0.006643550883897342,0.34243545124274366,0.0011365460593941723,0.051815362855263114,-0.05067881679586894,-0.32126254419472744,5,0.6977535738597685,False
000852.SH,中证1000,10,30,低波,30,-0.010505440755301798,0.23020960052344552,-0.001810051596645601,0.03618068123075746,-0.03799073282740306,-0.22966131961618708,3,0.2226004084411164,False
932000.SH,中证2000,10,30,低波,30,0.13328915935750052,0.5888259077982627,0.02169647712448275,0.08266398506961314,-0.060967507945130395,-0.2963801781546199,28,0.7072838665759019,False
000001.SH,上证综指,10,30,低波,60,0.19381870114819622,0.28973705804231975,0.03085697715881852,0.04461427037618493,-0.013757293217366406,-0.23291653492961384,5,0.9543907420013614,False
399001.SZ,深证成指,10,30,低波,60,0.0,0.18799825949121218,0.0,0.029993057153837377,-0.029993057153837377,0.0,0,0.0,False
399006.SZ,创业板指,10,30,低波,60,0.05879083150530029,0.5029503771193011,0.009848134674388165,0.07239311275556881,-0.06254497808118065,-0.10915184697385238,10,0.21783526208304968,False
000016.SH,上证50,10,30,低波,60,-0.02031656301364959,-0.043010897758050226,-0.0035149091546712308,-0.007513324632236529,0.003998415477565298,-0.2448540849859877,15,0.6058543226684819,True
000300.SH,沪深300,10,30,低波,60,-0.0008541188032017422,0.08796885835723467,-0.00014657190546119025,0.014568516085060601,-0.014715087990521791,-0.2996479129934533,8,0.5384615384615384,False
000905.SH,中证500,10,30,低波,60,0.15429473035435337,0.34243545124274366,0.024920399716110264,0.051815362855263114,-0.02689496313915285,-0.19606112758369454,1,0.552076242341729,False
000852.SH,中证1000,10,30,低波,60,0.1291919648615507,0.23020960052344552,0.021061880412153178,0.03618068123075746,-0.015118800818604283,-0.10981891664602506,1,0.1817562968005446,False
932000.SH,中证2000,10,30,低波,60,0.03972741018839776,0.5888259077982627,0.006705541056719833,0.08266398506961314,-0.07595844401289331,-0.2433224334034657,13,0.7862491490810075,False
000001.SH,上证综指,10,30,低波,120,0.07847793204454301,0.28973705804231975,0.013044719016912065,0.04461427037618493,-0.03156955135927286,-0.18971656852781116,2,0.8141592920353983,False
399001.SZ,深证成指,10,30,低波,120,0.0,0.18799825949121218,0.0,0.029993057153837377,-0.029993057153837377,0.0,0,0.0,False
399006.SZ,创业板指,10,30,低波,120,-0.037085783921050886,0.5029503771193011,-0.006461890462488462,0.07239311275556881,-0.07885500321805727,-0.039720140895999956,2,0.08236895847515316,False
000016.SH,上证50,10,30,低波,120,0.04870515666620312,-0.043010897758050226,0.008191411903708978,-0.007513324632236529,0.015704736535945507,-0.10235435738212717,7,0.4765146358066712,True
000300.SH,沪深300,10,30,低波,120,0.09567452257060305,0.08796885835723467,0.015797604766112805,0.014568516085060601,0.001229088681052204,-0.06463027441833658,2,0.22872702518720217,False
