symbol,symbol_name,fast_ma,slow_ma,atr_period,atr_ma_window,buy_volatility_cap,vol_breakout_mult,annualized_excess_return,max_drawdown,trade_count,turnover_rate,whipsaw_rate,enable_volatility_scaling,target_volatility,eligible,group,candidate_key,group_eligible
399001.SZ,深证成指,20,250,20,40,1.0,1.05,-0.024952043669040913,-0.3812353914666131,3,2.9322813227557663,0.0,False,0.15,False,balanced,vol_off|tv=0.15|atr=20/40|buy=1.00|sell=1.05,False
000905.SH,中证500,20,250,20,40,1.0,1.05,-0.0671205478456991,-0.057672168019961445,2,1.9757174173572916,0.0,False,0.15,False,balanced,vol_off|tv=0.15|atr=20/40|buy=1.00|sell=1.05,False
399001.SZ,深证成指,20,250,20,40,1.0,1.05,-0.024952043669040913,-0.3812353914666131,3,2.9322813227557663,0.0,True,0.15,False,balanced,vol_on|tv=0.15|atr=20/40|buy=1.00|sell=1.05,False
000905.SH,中证500,20,250,20,40,1.0,1.05,-0.0671205478456991,-0.057672168019961445,2,1.9757174173572916,0.0,True,0.15,False,balanced,vol_on|tv=0.15|atr=20/40|buy=1.00|sell=1.05,False
399001.SZ,深证成指,20,250,20,40,1.0,1.05,-0.024952043669040913,-0.3812353914666131,3,2.9322813227557663,0.0,True,0.18,False,balanced,vol_on|tv=0.18|atr=20/40|buy=1.00|sell=1.05,False
000905.SH,中证500,20,250,20,40,1.0,1.05,-0.0671205478456991,-0.057672168019961445,2,1.9757174173572916,0.0,True,0.18,False,balanced,vol_on|tv=0.18|atr=20/40|buy=1.00|sell=1.05,False
399001.SZ,深证成指,20,250,20,40,1.05,1.05,-0.02720551051835618,-0.3893846369500683,3,2.9322813227557663,0.0,False,0.15,False,balanced,vol_off|tv=0.15|atr=20/40|buy=1.05|sell=1.05,False
000905.SH,中证500,20,250,20,40,1.05,1.05,-0.0671205478456991,-0.057672168019961445,2,1.9757174173572916,0.0,False,0.15,False,balanced,vol_off|tv=0.15|atr=20/40|buy=1.05|sell=1.05,False
399001.SZ,深证成指,20,250,20,40,1.05,1.05,-0.02720551051835618,-0.3893846369500683,3,2.9322813227557663,0.0,True,0.15,False,balanced,vol_on|tv=0.15|atr=20/40|buy=1.05|sell=1.05,False
000905.SH,中证500,20,250,20,40,1.05,1.05,-0.0671205478456991,-0.057672168019961445,2,1.9757174173572916,0.0,True,0.15,False,balanced,vol_on|tv=0.15|atr=20/40|buy=1.05|sell=1.05,False
399001.SZ,深证成指,20,250,20,40,1.05,1.05,-0.02720551051835618,-0.3893846369500683,3,2.9322813227557663,0.0,True,0.18,False,balanced,vol_on|tv=0.18|atr=20/40|buy=1.05|sell=1.05,False
000905.SH,中证500,20,250,20,40,1.05,1.05,-0.0671205478456991,-0.057672168019961445,2,1.9757174173572916,0.0,True,0.18,False,balanced,vol_on|tv=0.18|atr=20/40|buy=1.05|sell=1.05,False
399006.SZ,创业板指,20,250,14,20,1.0,1.15,-0.06049125038799885,-0.40520678693290013,1,0.9997000899730081,0.0,False,0.15,False,high_beta,vol_off|tv=0.15|atr=14/20|buy=1.00|sell=1.15,False
000852.SH,中证1000,20,250,14,20,1.0,1.15,-0.04147242471933188,-0.4123927938877804,1,0.9997000899730083,0.0,False,0.15,False,high_beta,vol_off|tv=0.15|atr=14/20|buy=1.00|sell=1.15,False
932000.SH,中证2000,20,250,14,20,1.0,1.15,-0.049808835461076395,-0.3820798442666008,1,0.9997000899730082,0.0,False,0.15,False,high_beta,vol_off|tv=0.15|atr=14/20|buy=1.00|sell=1.15,False
399006.SZ,创业板指,20,250,14,20,1.0,1.15,-0.06049125038799885,-0.40520678693290013,1,0.9997000899730081,0.0,True,0.18,False,high_beta,vol_on|tv=0.18|atr=14/20|buy=1.00|sell=1.15,False
000852.SH,中证1000,20,250,14,20,1.0,1.15,-0.0413879099792982,-0.4120155213686777,2,0.9997000899730082,0.0,True,0.18,False,high_beta,vol_on|tv=0.18|atr=14/20|buy=1.00|sell=1.15,False
932000.SH,中证2000,20,250,14,20,1.0,1.15,-0.04958529727323335,-0.3820798442666009,2,0.9997000899730082,0.0,True,0.18,False,high_beta,vol_on|tv=0.18|atr=14/20|buy=1.00|sell=1.15,False
