symbol,name,window_id,signal_date,market_env,wy_phase,wy_direction,wy_confidence,wy_signal_type,wy_bc,wy_spring,factor_signal,fwd_return,fwd_max_gain,fwd_max_dd,bench_return,excess_return
601236.SH,红塔证券,15,2024-05-20,bull_start,accumulation,做多,A,spring,True,True,HOLD,4.76,4.9,16.22,-3.95,8.71
601236.SH,红塔证券,16,2024-09-13,bear_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,20.0,47.01,2.39,21.64,-1.64
601236.SH,红塔证券,17,2024-10-08,crash_bottom,markup,持有观察,C,markup,True,False,AVOID,-16.98,1.97,21.33,-7.69,-9.29
601236.SH,红塔证券,18,2025-01-13,structural_low,markdown,空仓观望,C,markdown,True,False,HOLD,5.06,12.15,11.52,3.48,1.58
601236.SH,红塔证券,19,2025-03-04,bull_start,accumulation,空仓观望,C,accumulation,True,False,HOLD,10.25,15.7,11.52,3.44,6.81
601236.SH,红塔证券,20,2025-04-07,event_bottom,accumulation,观察等待,C,spring,True,True,BUY,32.11,33.66,1.55,17.08,15.03
300710.SZ,万隆光电,1,2018-10-19,bear_bottom,markdown,空仓观望,C,markdown,True,False,HOLD,51.2,51.2,23.2,21.72,29.48
300710.SZ,万隆光电,2,2019-01-04,rebound_start,unknown,空仓观望,D,no_signal,False,False,HOLD,12.87,88.76,20.59,18.05,-5.18
300710.SZ,万隆光电,3,2019-08-06,bear_bottom,markdown,空仓观望,D,markdown,True,False,HOLD,8.75,18.69,4.36,10.9,-2.15
300710.SZ,万隆光电,4,2020-03-23,event_bottom,unknown,空仓观望,D,no_signal,False,False,HOLD,6.83,10.42,14.86,35.28,-28.45
300710.SZ,万隆光电,5,2020-07-01,bull_start,markup,持有观察,C,markup,True,False,AVOID,33.0,86.04,0.6,15.55,17.45
300710.SZ,万隆光电,6,2021-03-09,structural_low,unknown,空仓观望,D,no_signal,False,False,HOLD,-5.99,29.18,10.16,2.78,-8.77
