date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,lppl_vote,positive_lppl_vote,negative_lppl_vote,trend_buy_vote,trend_sell_vote,vol_buy_vote,vol_sell_vote,drawdown_buy_vote,drawdown_sell_vote,buy_votes,sell_votes,buy_streak,sell_streak,cooldown_remaining,buy_reentry_block_remaining,holding_bars,positive_regime_id,negative_regime_id,atr_ratio,price_drawdown,recent_drawdown_min,vol_position_cap,positive_days_left,negative_days_left,positive_consensus,negative_consensus,param_source
2023-03-31,399001.SZ,11666.31,11737.28,11657.57,11726.4,399637085.0,none,0.0,无信号,hold,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,585,0,0,0.8797312679675637,-0.03551433231426726,-0.0757094600429834,1.0,,-97.00001313187818,0.0,0.5705549545252764,optimal_yaml
2023-04-03,399001.SZ,11751.68,11898.76,11751.68,11889.42,497823896.0,none,0.0,无信号,hold,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,586,0,0,0.856462735478558,-0.022106086514522394,-0.0757094600429834,1.0,,-98.00001313187818,0.0,0.5705549545252764,optimal_yaml
2023-04-04,399001.SZ,11878.16,11885.38,11792.24,11859.48,508214233.0,none,0.0,无信号,hold,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,587,0,0,0.8427541714351284,-0.024568624112635273,-0.0757094600429834,1.0,,-99.00001313187818,0.0,0.5705549545252764,optimal_yaml
2023-04-06,399001.SZ,11787.35,11874.8,11778.8,11866.31,454537864.0,none,0.0,无信号,hold,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,588,0,0,0.7998880044604806,-0.024006862863633516,-0.0757094600429834,1.0,,-100.00001313187818,0.0,0.5705549545252764,optimal_yaml
2023-04-07,399001.SZ,11867.87,11979.59,11858.5,11967.74,427697141.0,none,0.0,无信号,hold,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,589,0,0,0.7892246814161097,-0.015664338195076843,-0.0757094600429834,1.0,,-101.00001313187818,0.0,0.5705549545252764,optimal_yaml
2023-04-10,399001.SZ,11987.68,11992.32,11845.88,11871.93,478316981.0,none,0.0,无信号,hold,1.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,590,0,0,0.8100676581533145,-0.0235446230072075,-0.0757094600429834,1.0,,-102.00001313187818,0.0,0.5705549545252764,optimal_yaml
2023-04-11,399001.SZ,11866.35,11914.32,11819.76,11877.15,423094684.0,none,0.0,无信号,hold,1.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,591,0,0,0.7715528768781165,-0.023115282784690883,-0.0757094600429834,1.0,,-103.00001313187818,0.0,0.5705549545252764,optimal_yaml
2023-04-12,399001.SZ,11873.26,11912.95,11842.26,11883.51,452203992.0,none,0.0,无信号,hold,1.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,592,0,0,0.7627634264552094,-0.022592178605532642,-0.0757094600429834,1.0,,-104.00001313187818,0.0,0.5705549545252764,optimal_yaml
2023-04-13,399001.SZ,11836.82,11844.4,11727.89,11739.84,470307590.0,none,0.0,无信号,hold,1.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,593,0,0,0.7622929958946637,-0.03440890461491397,-0.0757094600429834,1.0,,-105.00001313187818,0.0,0.5705549545252764,optimal_yaml
2023-04-14,399001.SZ,11760.43,11816.68,11737.3,11800.09,439951634.0,none,0.0,无信号,hold,1.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,594,0,0,0.7705702131775113,-0.0294533972573221,-0.07493385117357121,1.0,,-106.00001313187818,0.0,0.5705549545252764,optimal_yaml
2023-04-17,399001.SZ,11783.68,11855.48,11781.29,11855.48,423633406.0,none,0.0,无信号,hold,1.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,595,0,0,0.7599284617766989,-0.024897620451728497,-0.07493385117357121,1.0,,-107.00001313187818,0.0,0.5705549545252764,optimal_yaml
2023-04-18,399001.SZ,11834.77,11891.11,11818.25,11860.4,397866670.0,none,0.0,无信号,hold,1.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,596,0,0,0.7495306108276193,-0.024492954954643764,-0.06011914602420265,1.0,,-108.00001313187818,0.0,0.5705549545252764,optimal_yaml
2023-04-19,399001.SZ,11844.32,11844.32,11743.85,11760.27,414923104.0,none,0.0,无信号,hold,1.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,597,0,0,0.7681544304520411,-0.032728555812995164,-0.05438802979719848,1.0,,-109.00001313187818,0.0,0.5705549545252764,optimal_yaml
2023-04-20,399001.SZ,11751.38,11751.38,11659.65,11717.26,433953326.0,none,0.0,无信号,hold,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,598,0,0,0.7457654393470624,-0.03626608894909522,-0.04883457159330462,1.0,,,0.0,0.0,optimal_yaml
